Global Land Temperature Anomalies
Units: Degrees Celsius
Base Period: 1901-2000
Year,Value
188001,-0.1538
188002,-0.5771
188003,-0.7250
188004,-0.2990
188005,-0.2098
188006,-0.3002
188007,-0.3377
188008,-0.2925
188009,-0.3643
188010,-0.6158
188011,-0.9589
188012,-0.5658
188101,-0.4251
188102,-0.5059
188103,-0.2767
188104,-0.1483
188105,-0.0654
188106,-0.5456
188107,-0.3350
188108,-0.1496
188109,-0.5765
188110,-0.7598
188111,-0.9266
188112,-0.3625
188201,-0.0069
188202,-0.2219
188203,-0.0099
188204,-0.7030
188205,-0.5173
188206,-0.5600
188207,-0.5575
188208,-0.0707
188209,-0.1854
188210,-0.8594
188211,-0.4471
188212,-0.6869
188301,-1.2712
188302,-1.4001
188303,-0.5737
188304,-0.6407
188305,-0.5045
188306,-0.0866
188307,-0.3711
188308,-0.2956
188309,-0.4932
188310,-0.5749
188311,-0.7187
188312,-0.2316
188401,-0.4244
188402,-0.7231
188403,-0.8893
188404,-0.7274
188405,-0.5039
188406,-0.4492
188407,-0.6772
188408,-0.6876
188409,-0.6279
188410,-0.4391
188411,-0.6816
188412,-0.2983
188501,-1.3353
188502,-0.7850
188503,-0.3309
188504,-0.5754
188505,-0.5772
188506,-0.6033
188507,-0.5200
188508,-0.6134
188509,-0.3747
188510,-0.3178
188511,-0.2142
188512,0.2610
188601,-0.4532
188602,-0.9922
188603,-0.8324
188604,-0.3617
188605,-0.3973
188606,-0.5428
188607,-0.2141
188608,-0.2932
188609,-0.3544
188610,-0.5961
188611,-0.5999
188612,-0.0421
188701,-1.0459
188702,-0.8863
188703,-0.2735
188704,-0.3191
188705,-0.1880
188706,-0.4484
188707,-0.4127
188708,-0.6426
188709,-0.1500
188710,-0.6133
188711,-0.1297
188712,-0.2494
188801,-0.9915
188802,-0.8377
188803,-0.7627
188804,-0.2410
188805,-0.4516
188806,-0.3118
188807,-0.2491
188808,-0.5104
188809,-0.2673
188810,-0.2255
188811,-0.4542
188812,-0.2081
188901,-0.7612
188902,-0.1417
188903,0.1526
188904,0.1933
188905,-0.2366
188906,-0.1706
188907,-0.3124
188908,-0.2014
188909,-0.4081
188910,-0.4425
188911,-0.8836
188912,-0.4082
189001,-0.8269
189002,-0.8678
189003,-0.5513
189004,-0.2714
189005,-0.6906
189006,-0.3472
189007,-0.1890
189008,-0.3524
189009,-0.3455
189010,-0.2381
189011,-0.7083
189012,-0.3858
189101,-0.8309
189102,-1.3827
189103,-0.4330
189104,-0.5867
189105,-0.3711
189106,-0.5305
189107,-0.4431
189108,-0.4135
189109,-0.2093
189110,-0.6124
189111,-0.9013
189112,0.1266
189201,-0.6859
189202,-0.3502
189203,-0.7949
189204,-0.6940
189205,-0.4939
189206,-0.2950
189207,-0.3502
189208,-0.2717
189209,-0.1040
189210,-0.1280
189211,-1.0439
189212,-0.9147
189301,-1.9969
189302,-1.6488
189303,-0.2150
189304,-0.4591
189305,-0.6179
189306,-0.3154
189307,-0.1735
189308,-0.4443
189309,-0.2773
189310,-0.2348
189311,-0.0962
189312,-0.2772
189401,-0.8453
189402,-0.0715
189403,0.0175
189404,-0.4546
189405,-0.2346
